"name"	"abstract"
"南華老仙"	"南華老仙（なんかろうせん、生没年不詳）とは、中国・戦国時代の思想家、荘子が死んで仙人になった姿と考えられている。小説『三国志演義』では、漢王朝の腐敗に悩んでいる（または薬草摘みに山にでかけた）張角に、『太平要術の書』を「これを使って世直しをせよ。ただし、悪しきことに使えば天罰が下る」と言って授け去る。この妖術を取得したことから張角は太平道を作り、黄巾の乱を起こすことになっている。張角が病死しようとしているところにも現れ、張角に「悪しきことに使えば天罰が下る」ことを告げ、消える。この直後に、張角は病死する設定となっている。zh:庄子#信仰形象"
"卞喜"	"卞 喜（べん き）は、中国の通俗歴史小説『三国志演義』に登場する架空の武将。元黄巾賊で、曹操の部将として登場。流星鎚の使い手。沂水関を守っている際、千里行中の関羽が通りかかるとの報告を受け、これを謀殺しようと鎮国寺に兵を伏せる。しかし寺の僧侶・普浄が関羽に密告し露見。流星鎚を飛ばして戦うが、関羽にあっけなく斬り捨てられてしまう。吉川英治の小説『三国志』、横山光輝の漫画『三国志』では「弁喜」として登場。吉川『三国志』では、策を見破られると、流星鎚の腕を振るう暇すら与えられず、関羽に斬殺されてしまう。一方、横山『三国志』では『演義』と同様に流星鎚で抵抗するが、関羽の薙刀で寺の柱ごと首筋を両断されるという豪快な最期を遂げている。テレビアニメ『最強武将伝 三国演義』では関羽に流星鎚を投げつけるが関羽に逆に奪われ逃げる途中関羽の投げた流星鎚が背中に当たり死亡した。"
"周倉"	"周 倉（しゅう そう）は、『三国志演義』『三国志平話』『花関索伝』『山西通志』『関大王独赴単刀会』『聊斎志異』に蜀漢の武将として登場する架空の人物。古典劇目の『走麦城』、『収周倉』、『収関平』で字は元福。"
"忙牙長"	"忙牙長（ぼうがちょう）は、中国の通俗歴史小説『三国志演義』に登場する架空の武将。孟獲配下の武将で、黄驃馬に乗り、截頭の大刀を使う。孟獲本隊が諸葛亮の軍と初めて対峙した際、先陣を切って蜀の武将王平と戦ったものの、張嶷・張翼・趙雲たちの挟み撃ちに遭い敗走する。夾山峪では馬岱と一騎討ちをするが、一太刀で斬られてしまう。挿絵や漫画などのイラストの媒体の多くで、水牛に騎乗しているためかインパクトの強い人物である。en:List of fictional people of the Three Kingdoms#Chapter 87"
"方悦"	"方 悦（ほう えつ）は、中国の通俗歴史小説『三国志演義』に登場する架空の武将。河内の名将とされ、反董卓連合軍に参加した河内太守王匡に付き添う。虎牢関の戦いでは、槍をもって呂布に一騎討ちを挑むが、5合も渡り合えずに討ち取られてしまい、王匡軍は潰走することになる。"
"木鹿大王"	"木鹿 大王（ぼくろく だいおう）は、中国の通俗歴史小説『三国志演義』に登場する架空の人物。　　　　　　　南蛮の八納洞（はちのうどう）を支配し、3万の兵を従えている。戦においては白象にまたがり、呪文を唱えて手に持った鐘を振ると狂風を呼ぶことができる。帯来洞主の要請で孟獲を救援するため駆けつける。当初は猛獣や毒蛇を使って趙雲や魏延を破り諸葛亮の軍に善戦したが、諸葛亮が開発した口や鼻から炎や煙を出す巨大な木獣兵器により猛獣たちが混乱し、その隙を突いた敵軍の攻撃の中で関索に討ち取られる。"
"武安国"	"武 安国（ぶ あんこく）は、中国の通俗歴史小説『三国志演義』に登場する架空の武将。孔融配下の猛将、鉄槌の使い手として『演義』第5回に登場。虎牢関の戦いの折に孔融に従い参戦する。呂布に得意の鉄槌を駆使し挑みかかるが、10余合打ち合った末に片腕を切り落とされ敗走する。この後、何とか味方に救われるが、そのまま物語中から姿を消す。横山光輝の漫画『三国志』では、虎牢関の戦いで弁髪・巨漢の鉄槌の使い手が登場する。しかし、この武将は、呂布に子供のようにあしらわれた挙句、画戟で胸を突き通されて殺されている。なお、スーパーファミコン用ゲーム『横山光輝 三国志』シリーズでは、上記武将が武安国として登場している。"
"貂蝉"	"貂蝉（ちょうせん）は、小説『三国志演義』に登場する架空の女性。実在の人物ではないが楊貴妃・西施・王昭君と並び、古代中国四大美人の一人に数えられる。"
"金環三結"	"金環三結（きんかんさんけつ）は、中国の通俗歴史小説『三国演義』に登場する架空の武将。諸葛亮の南征において、南蛮王孟獲配下の三洞元帥として登場する。管轄は第一洞。南蛮攻略のため侵攻してきた蜀の諸葛亮を迎撃するため、他の三洞元帥阿会喃、董荼那と共に出陣する。しかし、趙雲の夜襲を受け、一騎討ちを演じるが、一突きで馬から突き落とされ、首級を獲られてしまう。"
"鞏志"	"鞏 志（きょう し）は、中国の通俗歴史小説『三国志演義』に登場する架空の武将。後漢末期の武陵郡太守金旋配下の従事として登場。劉備の部将張飛が攻めてきた際、金旋に降伏を進言する。しかし、金旋は怒りだしてこれを処刑しようとするが、他の部下の諌めで思いとどまる。結局、張飛に敗北して逃げ戻ってきた金旋に対し、鞏志は無駄に兵士を死なせたとしてこれを射殺し、首級を張飛に献上して降伏。鞏志は劉備から武陵太守に任ぜられるが、その後は登場していない。なお、この後魏延が長沙太守韓玄を殺して劉備に投降したところ、諸葛亮は魏延を不忠だとして処刑しようとしており、鞏志の例と比較するといささか脚色上の矛盾が生じている。"
"ケイ道栄"	"邢 道栄（けい どうえい）は、中国の通俗歴史小説『三国志演義』に登場する架空の武将。"
"トウ茂"	"鄧 茂（とう も／とう ぼう）は、中国の通俗歴史小説『三国志演義』に登場する架空の人物。黄巾賊の頭目の1人。黄巾の乱の折、幽州で黄巾賊の程遠志の下で暴れていたが、当時義勇軍にいた劉備配下の張飛に、愛用武器であった蛇矛で突き殺される。吉川英治の『三国志』や横山光輝の漫画『三国志』では、関羽に討ち取られた。"
"兀突骨"	"兀突骨 （ごつとつこつ）は、中国の通俗歴史小説『三国志演義』に登場する架空の人物。南蛮にある烏戈国（烏滸族）の王という設定である。身の丈十二尺（後漢の尺で276cm、魏・晋の尺で289.2cm）の大男で、体が鱗で覆われている。また穀物の類は一切食べず、生きた獣や蛇を食べている。油を藤の蔓に染み込ませて鎧状に編んで乾かした藤甲を着た、刀や矢も通用せず川などでは浮いて移動する最強の兵、藤甲軍を率い、自らは象に乗っていた。6度蜀漢軍に敗走した孟獲に替わり蜀軍に大勝し苦戦させる。しかし、藤甲の製造法と火に弱いことを知った諸葛亮は魏延に策を与え、魏延が何度も敗走して兀突骨を盤蛇谷に誘い込み、地雷により部下もろとも全員焼き殺してしまう。兀突骨軍全滅後、諸葛亮は兀突骨の軍勢に化け、孟獲が現れると諸葛亮らを討ち取ったと偽っておびき出して孟獲を捕らえたという。しかしながら諸葛亮は、兀突骨ら藤甲軍全員を焼き殺すあまりの残虐さに自ら恐怖し、この報いで自分は長生きできないだろうと語り、これがその後の五丈原での病没の伏線となっている。ちなみに横山光輝の漫画『三国志』においては、兀突骨軍を殲滅してしまったことに諸葛亮が涙するも、配下の武将たちに慰められるという話になり、あくまで諸葛亮は正義であるというスタンスを保っている。en:List of fictional people of the Three Kingdoms#Chapter 90"
"夏侯恩"	"夏侯 恩（かこう おん）は、中国の通俗歴史小説『三国志演義』に登場する架空の武将。第41回に曹操麾下として登場。曹操の寵愛を受け、宝剣である青釭の剣を預かる。長坂での劉備追撃の際に趙雲によって刺殺され、青釭の剣を奪われる。なお、吉川英治の小説『三国志』では「夏侯惇の弟」としているが、『演義』及び吉川が直接の種本にしたとされる湖南文山の『通俗三国志』では「曹操の随身」とするのみであり、夏侯惇の弟というのは吉川が追加した人物設定と思われる。"
"孟優"	"孟 優（もう ゆう）は、中国の通俗歴史小説『三国志演義』に登場する架空の人物。"
"帯来洞主"	"帯来洞主（たいらいどうしゅ） は、中国の通俗歴史小説『三国志演義』に登場する架空の人物。孟獲の妻祝融の弟という設定である。蜀軍に苦戦していた孟獲に、木鹿大王、兀突骨らを加勢させることに尽力する。"
"楊齢"	"楊 齢（よう れい）は、中国の通俗歴史小説『三国志演義』に登場する架空の武将。後漢末期の長沙太守韓玄の部将で管軍校尉。関羽が500騎で長沙に攻めてきた時、黄忠を向わせようとした韓玄に向かって、「老将軍が出陣するまでもない」と志願して迎撃に出る。一千の兵を率いて関羽と対戦するが、一騎討ちで一刀のもとに唐竹割りにされてしまう。"
"董荼那"	"董荼那（とうとな）は、中国の通俗歴史小説『三国志演義』に登場する架空の武将。一部の書籍では董荼奴（とうとぬ）と表記されることもある。諸葛亮の南征の際に、孟獲配下の三洞元帥の1人として登場する。管轄は第二洞。5万の兵を率いて、蜀陣営を攻めるが、魏延らに夜襲を仕掛けられ、張嶷に捕らえられる。諸葛亮によりいったん釈放されるが、孟獲の命で已む無く再び出撃し、ロ水を攻める。その時、敵将馬岱に「恩知らずの将め」と罵られると、恥じて撤退する。しかしそれに怒った孟獲に罰せられる。董荼那は次第に不満を持ちはじめ、終に孟獲を捕らえて諸葛亮に手渡すが、孟獲が諸葛亮に釈放されると、董荼那は僚友の阿会喃とともに孟獲の手で殺されてしまうのである。en:List of fictional people of the Three Kingdoms#Chapter 87"
"蔡中"	"蔡 中（さい ちゅう）は、中国の通俗歴史小説『三国志演義』に登場する架空の武将。蔡瑁の従弟。一部の書籍では「蔡仲」と表記されることもある。同じく蔡瑁の従弟とされる蔡和との関係は、不明という設定。劉表配下として登場。後に曹操配下の将となる。蔡瑁の命令で劉備を暗殺すべく襄陽の南門外を固める。建安13年（208年）に従兄の蔡瑁が、赤壁の戦い寸前に曹操に処刑されており、赤壁の戦いではそれが原因として、蔡和と共に孫権勢に偽りの投降をする。しかし当時、大都督であった周瑜は既にこれを見抜き、甘寧に策を授ける。蔡中はこの事を知らずに、甘寧を曹操陣営の裏の烏林の地まで導くが、そこで首を切り落とされてしまうのである。引き立て役としか扱われておらず、ロクな目に遭っていない。なお、吉川英治の小説『三国志』と横山光輝の漫画『三国志』では、蔡和とともに、蔡瑁の甥として扱われている。『人形劇三国志』においては唯一登場し、投降する場面が詳細に描かれている。"
"蔡和"	"蔡 和（さい わ、または、さい か）は、中国の通俗歴史小説『三国志演義』に登場する架空の武将。蔡瑁の従弟。なお、同じく蔡瑁の従弟とされている蔡中との関係は、『演義』の文面からは不明である。劉表配下として登場する。後に曹操に仕えた。蔡瑁の命令で劉備を暗殺すべく襄陽の東門で嶮山への道筋を固める。建安13年（208年）の赤壁の戦い直前に従兄蔡瑁が処刑されると、曹操の傘下に入って蔡中と共に呉に偽りの投降をする。周瑜はこの投降を偽りと見抜いており、苦肉の策成就のため利用し、これを成功させる。いよいよ赤壁の戦いが開戦するとなった時、周瑜に引き出されて策略が露見していたのを知り、呉軍士気高揚のために斬首された。なお、吉川英治の小説『三国志』と横山光輝の漫画『三国志』では、蔡中と共に蔡瑁の甥とされている。また、『演義』では、斬首後の血を軍旗に浸しただけであるが、横山『三国志』では、首級が祭壇に供えられるという末路になっている。"
"譚雄"	"譚 雄（たん ゆう）は、中国の通俗歴史小説『三国志演義』に登場する架空の武将。呉の孫桓の部将として登場する。劉備の呉への侵攻時に、孫桓に従って蜀軍を迎撃する。同僚の李異が張苞に討ち取られそうになると、矢で張苞の馬を射止めて救援するが、それも及ばず、李異は関興に斬られてしまう。その翌日、譚雄も関興に生け捕りにされてしまい、前日の馬の霊を慰めるために、張苞の手で斬首される。史実では呉に譚姓の武将が存在するが、譚雄の名は見当たらず、モデルが誰かも不明である。"
"阿会喃"	"阿会喃（あかいなん）は、中国の通俗歴史小説『三国志演義』に登場する架空の武将。諸葛亮の南征で、孟獲配下の三洞元帥の1人として登場する。管轄は第三洞である。他の元帥と共に5万の軍を率い蜀を攻撃するも、趙雲・馬忠の夜襲に敗れ、張翼に捕らえられる。後、諸葛亮に諭された上で釈放され、自洞に帰るも、孟獲に呼び出されてやむなく出陣。盧水で蜀と対する。阿会喃は董荼那の側面援助として沙口を守るが、董荼那は馬岱の罵倒を受けて、恥じて軍を引き上げている。これにより罰せられて孟獲を恨んだ董荼那は、阿会喃等と相談して、孟獲を捕らえて諸葛亮に引き渡す。しかし、諸葛亮が孟獲を釈放してしまったため、阿会喃は董荼那等と孟獲に誘い出されて殺され、遺体を谷に捨てられてしまう。en:List of fictional people of the Three Kingdoms#Chapter 87"
"陳応"	"陳 応（ちん おう）は、中国の通俗歴史小説『三国志演義』に登場する架空の武将。後漢末期の桂陽太守趙範に仕える管軍校尉として登場する。同僚の鮑隆と共に元・猟師で、陳応は飛叉（鎖の先に叉（さすまた）を付けた武器）の使い手である。桂陽に攻めてきた趙雲に降伏しようとする趙範を説得し、陳応は三千の軍勢を率いて趙雲に戦いを挑む。しかし、わずか数合で逃げ出し、苦し紛れに飛叉を投げて抵抗するも、あっけなく趙雲に捕らえられてしまう。陳応は平謝りして許してもらい、その後趙範も降伏する。しかし、趙範が自らの兄嫁を趙雲の妻に薦めたところ、趙雲はその不義を怒り、趙範を殴りつける。これを恨んだ趙範は、陳応・鮑隆を慰問と称して派遣、趙雲を暗殺しようとするが、そこで酒を勧められて眠ってしまったところを2人は捕らえられ、部下が趙雲暗殺について暴露してしまう。陳応は鮑隆と共に斬首され、趙範も捕えられてしまう。"
"韓徳"	"韓 徳（かん とく、繁体字：韓德、簡体字：韩德、拼音: Hán Dé）は、中国の通俗歴史小説『三国志演義』に登場する架空の武将。西涼の大将で魏の武将。武器は大斧。鳳鳴山で夏侯楙の援軍として4人の息子とともに8万の大軍を連れて駆けつけるが、息子の韓瑛（かん えい、韓瑛 / 韩瑛 / Hán Yīng）、韓瑤（かん よう、韓瑤 / 韩瑶 / Hán Yáo）、韓瓊（かん けい、韓瓊 / 韩琼 / Hán Qióng）、韓琪（かん ぎ、韓琪 / 韩琪 / Hán Qí）を趙雲に討ち取られ、最後には自身も趙雲の槍で突き殺されてしまう。"
"鮑隆"	"鮑 隆（ほう りゅう）は、中国の通俗歴史小説『三国志演義』に登場する架空の武将。一部の書籍では「鮑龍」と表記されることもある。後漢末期の桂陽太守趙範に仕える管軍校尉として登場する。同僚の陳応と共に元・猟師で、鮑龍は2頭の虎を射殺したことがある（吉川英治の小説『三国志』では、虎を生け捕りにしたとある）。劉備の部将趙雲が桂陽に進攻してきて、これを迎え撃った陳応が趙雲に敗れると、趙範は降伏する。しかし、趙範が自らの兄嫁を趙雲の妻に薦めたところ、趙雲は怒ってその不義を咎め、趙範を殴りつける。これを恨んだ趙範は、陳応・鮑隆を慰問と称して派遣、趙雲を暗殺しようとするが、そこで酒を勧められて眠ってしまったところを2人は捕らえられ、部下が趙雲暗殺について暴露してしまう。鮑隆は陳応と共に斬首され、趙範も捕えられてしまう。"
"黄奎"	"黄 奎（こう けい）は、中国の通俗歴史小説『三国志演義』に登場する架空の人物，字は宗文。董卓暗殺の謀議参加者の一人であり、李傕の乱の際に殺害された黄琬の子として登場する。官職は黄門侍郎。馬騰が曹操の元へ訪れたときに行軍参謀として馬騰の所へ行く。そのときに馬騰に曹操討伐を示し合わせる。しかし、それを知った使用人の苗沢の企みによって黄奎が李春香に全ての計画を話し、それを苗沢が曹操に告発する。苗沢は、黄奎の妾である李春香の間男で、彼女を妻に娶る目的があるために、黄奎を抹殺しようと目論んだ。苗沢の密告で黄奎と馬騰の密計を知った曹操は、彼らの一族を処刑。告発した苗沢は、褒美に李春香と結婚させるように嘆願するが、曹操はそれを聞き容れず「こやつは主人を裏切り女に走った、憎悪すべき奸物である!」と述べて、苗沢を彼の一族とともに処刑した。"
"夏侯傑"	"夏侯 傑（かこう けつ）は、中国の通俗歴史小説『三国志演義』に登場する架空の武将。曹操麾下の武将。建安13年（208年）の長坂橋の戦いで張飛を追撃するが、橋で仁王立ちをした張飛の大喝で、恐怖のあまり失神して落馬し、曹操や率いていた軍は浮き足立って逃げ出す設定となっている。なお、『三国志演義』のうち現在の流布本である毛宗崗本以外では、名前が夏侯覇（夏侯淵の子でのちに蜀に寝返る）となっている版本が多い。毛宗崗本の底本と称される、いわゆる李卓吾本でも夏侯覇となっている。これに伴って、毛宗崗本以前の版本に拠る作品、『通俗三国志』や吉川英治の小説『三国志』、横山光輝の漫画『三国志』では、夏侯覇の名が採用されている。横山『三国志』の夏侯覇は、張飛に一騎討ちを挑むが、橋上で張飛の繰り出した蛇矛をかわしたものの、勢い余って川に転落してしまう。"
"夏侯存"	"夏侯 存（かこう ぞん）は、中国の通俗歴史小説『三国志演義』に登場する架空の武将。曹仁の部将として登場する。関羽の樊城襲撃時に、満寵が篭城を主張するのに対し、夏侯存は迎撃を主張する。結果、曹仁は夏侯存の意見を取りいれ樊城に迫った関羽の軍勢に挑む。しかし、関羽の前に曹仁は大敗し、夏侯存は関羽の一刀の下にあっけなく斃されてしまう。横山光輝の漫画『三国志』では、夏侯存は関羽の子関平に討たれている。なお、『演義』で関平が討ち取ったのは、夏侯存の同僚翟元である（横山『三国志』では廖化が翟元を斬っている）。"
"夏侯徳"	"夏侯 徳（かこう とく）は、中国の小説『三国志演義』に登場する架空の人物。曹洪の部将として登場し、夏侯尚の兄として描かれている。ちなみに史実での夏侯尚の字は伯仁であり、当時の中国では「伯」は長男に使われることが多い字である。漢中の天蕩山での蜀の黄忠・厳顔との激突時に、武将の韓浩に迎え撃たせるが、韓浩は黄忠に討たれてしまう。夏侯徳は怒って自ら出撃するが、後方に回った厳顔に斬られることになっている。"
"孟節"	"孟 節（もう せつ）は、中国の通俗歴史小説『三国志演義』に登場する架空の人物。南蛮王・孟獲の兄として登場する。物欲の盛んな弟達に嫌気がさし、王城を離れ在野の士となる。万安渓（ばんあんけい）という谷で「万安隠者」と名乗り、長年に亘り毒泉の毒に侵された人々を救う。蜀の南蛮征圧の際には、諸葛亮と出会い毒泉にやられた傷病兵の治癒に協力する。また、口に含むと毒にあたらないとされる薤葉芸香という草を与えた。NHK『人形劇三国志』でも、毒泉や瘴気に苦しむ蜀軍に解毒の方法などを教える人物として登場するが、その後伏波将軍・馬援の碑の前で、実は孟節は玄徳の化身だったということが、玄徳の霊から孔明に告げられるというストーリーが付け加えられている。"
"晏明"	"晏 明（あん めい）は、中国の通俗歴史小説『三国志演義』に登場する架空の武将である。曹洪配下の部将。三尖両刃の剣の使い手。長坂の戦いで阿斗を抱える趙雲に斬りかかるが、3合と打ち合えずにその槍に突き倒されて果てる。"
"楊松"	"楊 松（よう しょう）は小説『三国志演義』に登場する架空の人物。漢中の領主張魯配下の佞臣で、金に汚い男とされる。楊柏（正史では楊白）の兄という設定。益州を支配する劉璋は漢中の張魯の脅威に怯え、劉備と結び張魯への備えにしようとしたが、かえって劉備に攻撃されたため、反目していた張魯に援軍を申し入れる。このとき、かつて曹操に敗れて落ち延びてきた馬超が援軍の役を引き受け、劉備の軍勢とぶつかり合うことになる。馬超と対峙することは得でないと見た劉備陣営は、馬超と張魯の関係を破綻させるべく楊松に賄賂を贈り、張魯に讒言するように申し入れる。快諾した楊松は「馬超は蜀の地を我が物にするつもりだ」と張魯に吹聴し、馬超を退くことも進むこともできない状態に追い込んだ。行くあてを失った馬超は、李恢に説得され劉備に降るのであるが、この折に監視役だった楊柏が手土産として斬られている。215年、曹操の張魯征伐の折、難攻不落の陽平関攻めに決め手を欠いた曹操陣営は、楊松に対して賄賂と共に内応の申し入れを行う。財宝と爵位に目が眩んだ楊松は、進んで曹操軍を引き入れることに協力、これにより曹操は張魯の支配する漢中の制圧に成功するのである。張魯およびその配下は、降伏時の対応から曹操に厚遇を受けることとなるが、楊松だけは「主君を売った罪」を問われ、処刑されてしまう。"
"胡班"	"胡 班（こ はん）は、中国の通俗歴史小説『三国志演義』に登場する架空の人物。"
"越吉"	"越 吉（えつきつ）は、中国の通俗歴史小説『三国志演義』に登場する架空の武将。西羌の元帥で、鉄槌の使い手。国王徹里吉の命により、雅丹らと共に25万の兵を率い曹真の援軍として参加する。鉄車と呼ばれる兵器で蜀軍を苦しめ、自身も関興を討ち死に寸前にまで追い詰める活躍をするが、関羽の亡霊に阻まれて討ち漏らしてしまう。次戦で諸葛亮の計略にはまり鉄車兵は壊滅し、逃げようとする所を関興に斬り殺される。"
"趙岑"	"趙 岑（ちょう しん）は、中国の通俗歴史小説『三国志演義』に登場する架空の人物。董卓の部将として登場する。汜水関の守りに就いた華雄の副将として袁紹ら連合軍を迎え撃つ。また董卓が荒れ果てた洛陽から長安に遷都する際、その動きに合わせて汜水関の門を開けるが、その後は物語中から姿を消してしまう。"
"周善"	"周 善（しゅう ぜん）は、中国の通俗歴史小説『三国志演義』に登場する架空の人物。忠義に厚く勇猛果敢だったために、孫権に気に入られ、孫権の妹である孫夫人に仕える。孫権がそれまで同盟関係にあった劉備と荊州をめぐる問題で仲が悪くなると、張昭の策で孫夫人とその子劉禅を連れ戻すために、周善は船で荊州へ赴く。荊州に着くと孫夫人と劉禅を船に乗せて帰ろうとするが、趙雲と張飛の追撃を受けて、孫夫人は呉へ帰れたものの、劉禅は取り戻され、周善自身も張飛に左胸を貫かれて討たれてしまう。『三国志』『後漢書』等の史書にはその名は見当たらないので、架空の人物と考えられる。ただし、孫夫人が孫権の誘いに応じて劉禅を呉に連れ去ろうとしたのを趙雲と張飛に阻止されたという逸話自体は『三国志』に引用された『趙雲別伝』に記載されている。"
