"name"	"abstract"
"曹霖"	"曹 霖（そう りん、? - 250年12月）は、中国三国時代の魏の皇族。祖父は曹操。父は曹丕（文帝）。生母は仇昭儀。異母兄は曹叡（明帝）。子は曹啓（嫡子）・曹髦（高貴郷侯）。父から河東王に封ぜられ、のち館陶王に改封された。性格は粗暴で荒々しく、後宮の侍女や婢女に暴力を振るい、何度か殺害してしまうこともあったという。後、異母兄によって東海王に改封された。250年に死去し、定王と諡された。嫡子が後継した。"
"何苗"	"何 苗（か びょう、? - 189年）は、中国後漢末期の軍人。字は叔達。本姓は朱。父の名は不明。何皇后は異父妹で、何進とは血が繋がっていない。かつては何進（義兄）と共に南陽で屠殺業を営んでいたとされるが、異父妹が霊帝の寵愛を受けて、皇子を産んで皇后になると、何進と共に官僚となり、河南尹に任命された。その後、車騎将軍に累進し済陽侯に封じられた。霊帝が崩御し少帝が即位すると、後漢の内政上の障害となっていた宦官の存廃を巡り、政争が発生した。当時、何進らが宦官の除去を求め妹の皇太后にその旨奏上するなどしていたが、何苗は異父妹の皇太后と組んで何進と対立し、漢朝の伝統であると主張して宦官を擁護した。その結果、189年8月に何進らが宦官の十常侍らに殺害されてしまったため、一連の経緯から呉匡ら何進の幕僚に恨まれることとなった。呉匡が元何進配下の兵に「何進を殺したのは何苗である。その復讐をするものはおらぬか」と言うと、兵たちは涙を流して彼に従った。かくして何苗は呉匡と董旻に殺害された。墓はその後上洛した董卓によって発かれ、また遺体も引き出されてばらばらにされている。"
"典満"	"典 満（てん まん、生没年不詳）は、中国後漢末期から三国時代の魏の武将。典韋の子。『三国志』魏志典韋伝によると、父の死後、曹操から郎中に任命された。後に司馬に昇進し、曹丕から関内侯の位を与えられ、都尉に昇進したとある。"
"呂乂"	"呂 乂（りょ がい、? - 251年）は、三国時代の蜀（蜀漢）の政治家。南陽出身。字は季陽(きよう)。呂常の子、呂辰・呂雅の父。　"
"呂曠"	"呂 曠（りょ こう、生没年不詳）は、中国の後漢時代末期の武将。兗州東平郡の人。"
"呉蘭"	"呉 蘭（ご らん、? - 218年）は、中国後漢末期の武将。"
"周羣"	"周 羣（しゅう ぐん、生没年不詳）は、中国後漢末期の人物。字は仲直。父は周舒。子は周巨。益州巴西郡閬中県（四川省南充市閬中県）の出身。図讖（予言）と呼ばれる、自然現象などから未来の兆候を探る学問を父から教わっていたという。"
"周舒"	"周 舒（しゅう じょ、生没年不詳）は、後漢末期の人物。字は叔布（しゅくふ）。子は周羣。巴西郡閬中県（四川省閬中市）の人。『蜀書』杜周杜許孟来尹李譙郤伝 - 「周羣伝」には、「若いころ、広漢の楊厚に図讖の術を学び、董扶、任安に次ぐ名声を博した。」とある。また、「春秋讖」における「漢に代わるものは当塗高(とうとこう)」。との表現の意味を聞かれ、「当塗高とは魏である。」と答えたと言われる。"
"孫皎"	"孫 皎（そん こう、? - 219年）は、中国後漢末期の武将。字は叔朗。父は孫静。兄は孫暠・孫瑜。弟は孫奐・孫謙。子に孫胤・孫晞・孫咨・孫弥・孫儀。"
"張虎"	"張 虎（ちょう こ）は、後漢末期の人物。魏の人物。"
"曹彪"	"曹 彪（そう ひょう、195年 - 251年）は、中国後漢末期から三国時代にかけての人物。魏の皇族。字は朱虎。父は曹操。生母は孫姫。同母兄弟は曹上・曹勤。異母兄は曹丕（文帝）・曹植。子は曹嘉。"
